Status: 1
NoRaiz: 103
Rrn prox no: 125
Lixo: @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
RRN: 55 | Folha: 1 | NroChaves: 2 | -1 [515] -1 [516] -1 [-1] -1 [-1] -1 
RRN: 56 | Folha: 1 | NroChaves: 2 | -1 [522] -1 [523] -1 [-1] -1 [-1] -1 
RRN: 57 | Folha: 1 | NroChaves: 3 | -1 [527] -1 [528] -1 [531] -1 [-1] -1 
RRN: 58 | Folha: 0 | NroChaves: 2 | 56 [524] 57 [532] 59 [-1] -1 [-1] -1 
RRN: 59 | Folha: 1 | NroChaves: 2 | -1 [533] -1 [534] -1 [-1] -1 [-1] -1 
RRN: 60 | Folha: 1 | NroChaves: 2 | -1 [536] -1 [540] -1 [-1] -1 [-1] -1 
RRN: 61 | Folha: 1 | NroChaves: 3 | -1 [542] -1 [545] -1 [546] -1 [-1] -1 
RRN: 62 | Folha: 0 | NroChaves: 3 | 60 [541] 61 [547] 64 [552] 104 [-1] -1 
RRN: 63 | Folha: 0 | NroChaves: 3 | 34 [683] 116 [706] 38 [721] 90 [-1] -1 
RRN: 64 | Folha: 1 | NroChaves: 3 | -1 [548] -1 [549] -1 [550] -1 [-1] -1 
RRN: 65 | Folha: 1 | NroChaves: 2 | -1 [614] -1 [615] -1 [-1] -1 [-1] -1 
RRN: 66 | Folha: 1 | NroChaves: 2 | -1 [617] -1 [619] -1 [-1] -1 [-1] -1 
RRN: 67 | Folha: 0 | NroChaves: 3 | 29 [609] 114 [612] 65 [616] 66 [-1] -1 
RRN: 68 | Folha: 1 | NroChaves: 2 | -1 [621] -1 [622] -1 [-1] -1 [-1] -1 
RRN: 69 | Folha: 1 | NroChaves: 2 | -1 [624] -1 [625] -1 [-1] -1 [-1] -1 
RRN: 70 | Folha: 1 | NroChaves: 2 | -1 [628] -1 [629] -1 [-1] -1 [-1] -1 
RRN: 71 | Folha: 0 | NroChaves: 2 | 68 [623] 69 [627] 70 [-1] -1 [-1] -1 
RRN: 72 | Folha: 1 | NroChaves: 2 | -1 [631] -1 [632] -1 [-1] -1 [-1] -1 
RRN: 73 | Folha: 1 | NroChaves: 2 | -1 [635] -1 [636] -1 [-1] -1 [-1] -1 
RRN: 74 | Folha: 1 | NroChaves: 2 | -1 [638] -1 [639] -1 [-1] -1 [-1] -1 
RRN: 75 | Folha: 0 | NroChaves: 2 | 72 [633] 73 [637] 74 [-1] -1 [-1] -1 
RRN: 76 | Folha: 0 | NroChaves: 4 | 67 [620] 71 [630] 75 [640] 80 [653] 84 
RRN: 77 | Folha: 1 | NroChaves: 2 | -1 [641] -1 [642] -1 [-1] -1 [-1] -1 
RRN: 78 | Folha: 1 | NroChaves: 2 | -1 [644] -1 [646] -1 [-1] -1 [-1] -1 
RRN: 79 | Folha: 1 | NroChaves: 2 | -1 [650] -1 [652] -1 [-1] -1 [-1] -1 
RRN: 80 | Folha: 0 | NroChaves: 2 | 77 [643] 78 [649] 79 [-1] -1 [-1] -1 
RRN: 81 | Folha: 1 | NroChaves: 2 | -1 [654] -1 [655] -1 [-1] -1 [-1] -1 
RRN: 82 | Folha: 1 | NroChaves: 2 | -1 [657] -1 [658] -1 [-1] -1 [-1] -1 
RRN: 83 | Folha: 1 | NroChaves: 2 | -1 [661] -1 [662] -1 [-1] -1 [-1] -1 
RRN: 84 | Folha: 0 | NroChaves: 2 | 81 [656] 82 [659] 83 [-1] -1 [-1] -1 
RRN: 85 | Folha: 1 | NroChaves: 2 | -1 [684] -1 [685] -1 [-1] -1 [-1] -1 
RRN: 86 | Folha: 1 | NroChaves: 2 | -1 [689] -1 [690] -1 [-1] -1 [-1] -1 
RRN: 87 | Folha: 1 | NroChaves: 2 | -1 [713] -1 [716] -1 [-1] -1 [-1] -1 
RRN: 88 | Folha: 1 | NroChaves: 2 | -1 [719] -1 [720] -1 [-1] -1 [-1] -1 
RRN: 89 | Folha: 1 | NroChaves: 3 | -1 [732] -1 [760] -1 [761] -1 [-1] -1 
RRN: 90 | Folha: 0 | NroChaves: 3 | 89 [762] 36 [779] 37 [801] 105 [-1] -1 
RRN: 91 | Folha: 1 | NroChaves: 2 | -1 [814] -1 [815] -1 [-1] -1 [-1] -1 
RRN: 92 | Folha: 1 | NroChaves: 2 | -1 [820] -1 [821] -1 [-1] -1 [-1] -1 
RRN: 93 | Folha: 1 | NroChaves: 2 | -1 [823] -1 [825] -1 [-1] -1 [-1] -1 
RRN: 94 | Folha: 0 | NroChaves: 4 | 91 [816] 92 [822] 93 [826] 95 [829] 96 
RRN: 95 | Folha: 1 | NroChaves: 2 | -1 [827] -1 [828] -1 [-1] -1 [-1] -1 
RRN: 96 | Folha: 1 | NroChaves: 2 | -1 [831] -1 [860] -1 [-1] -1 [-1] -1 
RRN: 97 | Folha: 1 | NroChaves: 2 | -1 [912] -1 [913] -1 [-1] -1 [-1] -1 
RRN: 98 | Folha: 1 | NroChaves: 2 | -1 [916] -1 [917] -1 [-1] -1 [-1] -1 
RRN: 99 | Folha: 1 | NroChaves: 4 | -1 [924] -1 [928] -1 [938] -1 [948] -1 
RRN: 100 | Folha: 0 | NroChaves: 2 | 98 [918] 99 [965] 42 [-1] -1 [-1] -1 
RRN: 101 | Folha: 0 | NroChaves: 2 | 94 [861] 43 [915] 100 [-1] -1 [-1] -1 
RRN: 102 | Folha: 0 | NroChaves: 2 | 76 [663] 63 [812] 101 [-1] -1 [-1] -1 
RRN: 103 | Folha: 0 | NroChaves: 1 | 26 [594] 102 [-1] -1 [-1] -1 [-1] -1 
RRN: 104 | Folha: 1 | NroChaves: 2 | -1 [560] -1 [561] -1 [-1] -1 [-1] -1 
RRN: 105 | Folha: 1 | NroChaves: 2 | -1 [809] -1 [811] -1 [-1] -1 [-1] -1 
RRN: 106 | Folha: 1 | NroChaves: 2 | -1 [23] -1 [24] -1 [-1] -1 [-1] -1 
RRN: 107 | Folha: 1 | NroChaves: 2 | -1 [245] -1 [256] -1 [-1] -1 [-1] -1 
RRN: 108 | Folha: 0 | NroChaves: 2 | 107 [260] 10 [270] 11 [-1] -1 [-1] -1 
RRN: 109 | Folha: 1 | NroChaves: 4 | -1 [305] -1 [307] -1 [308] -1 [309] -1 
RRN: 110 | Folha: 1 | NroChaves: 2 | -1 [511] -1 [512] -1 [-1] -1 [-1] -1 
RRN: 111 | Folha: 1 | NroChaves: 2 | -1 [507] -1 [508] -1 [-1] -1 [-1] -1 
RRN: 112 | Folha: 1 | NroChaves: 2 | -1 [519] -1 [520] -1 [-1] -1 [-1] -1 
RRN: 113 | Folha: 0 | NroChaves: 2 | 110 [513] 55 [518] 112 [-1] -1 [-1] -1 
RRN: 114 | Folha: 1 | NroChaves: 2 | -1 [610] -1 [611] -1 [-1] -1 [-1] -1 
RRN: 115 | Folha: 1 | NroChaves: 3 | -1 [701] -1 [702] -1 [703] -1 [-1] -1 
RRN: 116 | Folha: 0 | NroChaves: 2 | 85 [688] 86 [700] 115 [-1] -1 [-1] -1 
RRN: 117 | Folha: 1 | NroChaves: 3 | -1 [11] -1 [20] -1 [21] -1 [-1] -1 
RRN: 118 | Folha: 1 | NroChaves: 2 | -1 [30] -1 [40] -1 [-1] -1 [-1] -1 
RRN: 119 | Folha: 0 | NroChaves: 3 | 118 [50] 121 [164] 1 [167] 3 [-1] -1 
RRN: 120 | Folha: 0 | NroChaves: 2 | 12 [224] 47 [244] 108 [-1] -1 [-1] -1 
RRN: 121 | Folha: 1 | NroChaves: 3 | -1 [60] -1 [150] -1 [160] -1 [-1] -1 
RRN: 122 | Folha: 1 | NroChaves: 2 | -1 [189] -1 [200] -1 [-1] -1 [-1] -1 
RRN: 123 | Folha: 1 | NroChaves: 2 | -1 [209] -1 [210] -1 [-1] -1 [-1] -1 
RRN: 124 | Folha: 1 | NroChaves: 2 | -1 [503] -1 [505] -1 [-1] -1 [-1] -1 

12456.610000
